@relation Output

@attribute nHBAcc numeric
@attribute nHBDon numeric
@attribute naAromAtom numeric
@attribute nAtomP numeric
@attribute nB numeric
@attribute nAromBond numeric
@attribute nRotB numeric
@attribute ALogP numeric
@attribute ALogp2 numeric
@attribute AMR numeric
@attribute XLogP numeric
@attribute MLogP numeric
@attribute apol numeric
@attribute TopoPSA numeric
@attribute MW numeric
@attribute bpol numeric
@attribute ATSc1 numeric
@attribute ATSc2 numeric
@attribute ATSc3 numeric
@attribute ATSc4 numeric
@attribute ATSc5 numeric
@attribute ATSm1 numeric
@attribute ATSm2 numeric
@attribute ATSm3 numeric
@attribute ATSm4 numeric
@attribute ATSm5 numeric
@attribute nAcid numeric
@attribute nBase numeric
@attribute MOMI-X numeric
@attribute MOMI-Y numeric
@attribute MOMI-Z numeric
@attribute MOMI-XY numeric
@attribute MOMI-XZ numeric
@attribute MOMI-YZ numeric
@attribute MOMI-R numeric
@attribute AllSurfaceArea numeric
@attribute Association {Yes}

@data
6,2,0,4,14,0,8,-0.0469,0.0022,48.8083,0.704,1.79,33.250274,104.64,218.126657,24.105726,0.614098,-0.489835,0.284109,-0.138423,0.174796,18.817837,16.324916,22.426968,18.9891,18.435201,0,0,1973.850285,1150.707721,823.142564,1.715336,2.397945,1.397945,5.957416,567.349209,Yes
6,2,5,7,22,5,7,0.7754,0.601245,85.5199,1.277,2.01,48.589032,107.98,316.156912,37.628968,0.684443,-0.378783,-0.190591,0.377065,-0.121654,30.891081,29.050644,38.101182,34.01497,32.386551,0,1,5661.134972,4662.999392,998.13558,1.214054,5.671709,4.671709,7.690625,548.658998,Yes
7,2,6,11,29,6,10,1.4781,2.18478,108.1827,3.164,2.78,60.259825,99.88,408.1452,35.414175,0.833502,-0.498574,0.162116,-0.061276,0.041783,40.305256,34.107052,47.608033,58.113793,67.881176,0,1,7004.811615,4605.617538,2399.194077,1.520928,2.919652,1.919652,8.100357,743.735695,Yes
2,1,10,11,17,11,0,0.953,0.908209,59.8079,2.226,2.67,34.415102,38.91,198.115699,15.964898,0.091768,-0.031295,-0.008822,-0.029832,0.02317,15.719961,17.498546,24.997092,26.495637,20.357072,0,0,1473.9466,1135.68,338.2666,1.297854,4.357352,3.357352,5.122633,457.526239,Yes
14,6,0,5,62,0,7,-3.6782,13.529155,184.464,2.174,4.43,126.062752,203.06,780.429607,84.335248,1.766016,-0.835474,0.023797,-0.21932,-0.103011,65.842567,68.973932,112.389003,130.598401,123.376594,0,0,56353.42233,54326.38266,2027.039667,1.037312,27.800848,26.800848,12.164248,1060.834665,Yes
2,0,0,4,26,0,1,0.9172,0.841256,91.9078,4.826,3.55,58.56779,34.14,314.22458,34.71221,0.244008,-0.059003,-0.063039,0.011226,-0.006763,24.548938,26.664184,43.328368,49.328368,43.992552,0,0,4188.594143,3645.826656,542.767487,1.148874,7.717106,6.717106,6.361793,503.654596,Yes
6,3,18,26,34,18,9,5.1329,26.346662,108.1812,3.752,2.56,58.285688,92.35,464.086303,28.652312,0.883121,-0.524163,0.141876,-0.071919,-0.110653,47.982411,40.354949,63.165309,62.245656,66.321699,0,0,19552.53648,18367.03402,1185.502459,1.064545,16.493037,15.493037,10.092791,755.078415,Yes
5,1,6,11,29,6,8,2.8632,8.197914,101.4284,4.383,2.78,58.215032,107.77,388.163437,33.900968,0.647664,-0.384585,0.222535,-0.213286,0.29908,33.366775,32.598021,46.645143,54.310563,64.188322,0,0,7342.077659,4886.717986,2455.359673,1.502456,2.990225,1.990225,8.487331,724.686795,Yes
4,0,0,4,33,0,2,1.4012,1.963361,112.217,3.445,3.55,69.685376,85.74,416.202131,42.052624,0.523636,-0.238181,0.01715,0.000681,-0.022752,38.225629,38.00003,64.99696,68.998183,69.005662,0,0,6551.871555,4818.192467,1733.679088,1.359819,3.779172,2.779172,7.571306,569.005417,Yes
6,3,12,14,34,12,11,2.9027,8.425667,126.1564,3.421,3.55,74.097962,99.88,459.242102,42.566038,0.681743,-0.270033,0.009022,-0.212925,0.242093,38.73437,36.906701,51.927411,56.98358,65.447754,1,0,11446.74902,8815.323285,2631.425736,1.298506,4.350018,3.350018,9.37816,774.429374,Yes
